timestamp_utc,soil_humidity,soil_temperature,system_air_humidity,system_air_temperature
2021-06-15T17:53:31+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:34+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:53:37+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:53:40+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:43+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:46+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:49+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:52+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:55+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:53:58+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:02+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:05+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:08+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:11+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:54:14+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:16+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:20+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:22+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:25+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:28+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:31+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:34+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:37+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:40+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:54:44+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:54:46+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:50+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:54:53+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:54:55+00:00,103.32,15.81,92.0,16.6
2021-06-15T17:54:58+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:01+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:04+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:07+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:10+00:00,103.55,15.75,92.0,16.6
2021-06-15T17:55:13+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:16+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:20+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:22+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:26+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:28+00:00,103.32,15.81,92.0,16.6
2021-06-15T17:55:32+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:35+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:37+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:40+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:43+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:47+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:50+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:52+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:55:56+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:55:58+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:01+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:04+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:07+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:11+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:13+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:17+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:19+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:22+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:26+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:28+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:31+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:35+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:37+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:41+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:44+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:46+00:00,103.55,15.81,92.0,16.6
2021-06-15T17:56:49+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:53+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:56+00:00,103.79,15.81,92.0,16.6
2021-06-15T17:56:59+00:00,103.55,15.81,92.0,16.6
